时间,加速度
3.9,-9.8
3.91,20.3
3.92,24.8
3.93,40.2
3.94,41.3
3.95,47.1
3.96,43.3
3.97,45.7
3.98,5.7
3.99,-17.7
4,20.7
4.01,49.1
4.02,52.9
4.03,36.1
4.04,40.2
4.05,30.7
4.06,31.5
4.07,26.4
4.08,26.4
4.09,26.8
4.1,34.4
4.11,30.8
4.12,21.6
4.13,7.8
4.14,-8.7
4.15,-28
4.16,-30.9
4.17,-35.8
4.18,-34
4.19,-35.8
4.2,-28.6
4.21,-30.4
4.22,-11.2
4.23,-21.3
4.24,-13.5
4.25,-38.2
4.26,85.9
4.27,134.4
4.28,133.7
4.29,135
4.3,119
4.31,103.7
4.32,82.5
4.33,64.8
4.34,44.3
4.35,25.7
4.36,6
4.37,9.1
4.38,18.1
4.39,14.7
4.4,-8.5
4.41,-16.2
4.42,-5
4.43,-26.3
4.44,-58
4.45,-86.3
4.46,-119.7
4.47,-168.8
4.48,-110.8
4.49,109.5
4.5,36.5
4.51,44.3
4.52,23.5
4.53,95.8
4.54,65.5
4.55,59.3
4.56,66.8
4.57,54.9
4.58,2.7
4.59,-37.5
4.6,-106.7
4.61,-166.4
4.62,-94.5
4.63,-40.6
4.64,-66.5
4.65,-13.2
4.66,9.5
4.67,51.8
4.68,82.5
4.69,114.9
4.7,114.6
4.71,80.1
4.72,36.8
4.73,-2.9
4.74,-54.2
4.75,-117.3
4.76,-160.3
4.77,26.9
4.78,-3.4
4.79,5.6
4.8,-2
4.81,-14.6
4.82,-53.5
4.83,-79.5
4.84,20.4
4.85,58.7
4.86,16.8
4.87,17.4
4.88,2.8
4.89,-7.4
4.9,-38.2
4.91,-56.6
4.92,-75
4.93,-79.8
4.94,-59
4.95,-30.3
4.96,-2.3
4.97,-6.4
4.98,40.6
4.99,45
5,7.9
5.01,-16.7
5.02,-56.6
5.03,-9.3
5.04,5.5
5.05,-4.4
5.06,12.2
5.07,28.1
5.08,43.6
5.09,35.1
5.1,25.4
5.11,11
5.12,-20.4
5.13,-51.8
5.14,-85.3
5.15,-113.9
5.16,-73
5.17,-23.6
5.18,36.8
5.19,27
5.2,21.6
5.21,87
5.22,96.8
5.23,58.7
5.24,33.5
5.25,-7.7
5.26,-25.8
5.27,-50.5
5.28,-35.8
5.29,-8.1
5.3,5.6
5.31,20.8
5.32,31.6
5.33,23.7
5.34,37.5
5.35,54.9
5.36,72
5.37,80.1
5.38,52.2
5.39,33.9
5.4,1.1
5.41,-6.5
5.42,3.7
5.43,0.5
5.44,16.7
5.45,40.9
5.46,8
5.47,-7.9
5.48,-37.2
5.49,-61.4
5.5,-66.2
5.51,-25.3
5.52,5.7
5.53,47.4
5.54,35.5
5.55,24.2
5.56,4.8
5.57,-12.5
5.58,-37.9
5.59,-24
5.6,22.6
5.61,42.6
5.62,67.5
5.63,65.8
5.64,58.7
5.65,51.2
5.66,40.6
5.67,30.8
5.68,26.5
5.69,53.9
5.7,62.7
5.71,90.4
5.72,110.1
5.73,87.6
5.74,76.7
5.75,58
5.76,47.1
5.77,33.2
5.78,19.8
5.79,-2
5.8,-21
5.81,-43
5.82,-61
5.83,-76.4
5.84,-93.1
5.85,-106.1
5.86,-112.5
5.87,-118.3
5.88,-124.1
5.89,-133
5.9,-158.9
5.91,-179
5.92,-202.9
5.93,-123.1
5.94,-44
5.95,13.9
5.96,66.5
5.97,55.2
5.98,69.2
5.99,98.2
6,124.1
6.01,117.6
6.02,104.7
6.03,91.7
6.04,74
6.05,80.5
6.06,84.6
6.07,85.6
6.08,85.9
6.09,87
6.1,86.6
6.11,88.3
6.12,53.5
6.13,-5.2
6.14,-21.4
6.15,-24.4
6.16,-57.6
6.17,-31.3
6.18,-23.5
6.19,-48.4
6.2,-58.7
6.21,-52.2
6.22,-35.5
6.23,-19.6
6.24,-19.8
6.25,-49.1
6.26,-34.1
6.27,-28.7
6.28,-43
6.29,-23.8
6.3,-8.8
6.31,-7.7
6.32,14.7
6.33,7.7
6.34,1.9
6.35,-7.5
6.36,-4.4
6.37,14.5
6.38,31.5
6.39,24
6.4,2.8
6.41,-18.1
6.42,-42.3
6.43,-43.6
6.44,-51.2
6.45,-46.4
6.46,-47.7
6.47,-19.2
6.48,-22.1
6.49,-27.3
6.5,-39.2
6.51,-50.1
6.52,-57.6
6.53,-58.7
6.54,-81.8
6.55,-79.5
6.56,-94.5
6.57,-34.4
6.58,-4.5
6.59,12.2
6.6,34.4
6.61,42.3
6.62,41.6
6.63,27.4
6.64,26.9
6.65,-7.4
6.66,-42.6
6.67,23
6.68,38.5
6.69,8.3
6.7,-13.8
6.71,-44.3
6.72,-2.7
6.73,69.6
6.74,79.5
6.75,25
6.76,13.4
6.77,-7.9
6.78,11.5
6.79,25
6.8,33.2
6.81,26.8
6.82,30
6.83,19.9
6.84,6.7
6.85,3.8
6.86,-10.5
6.87,-29.5
6.88,-34.4
6.89,-95.5
6.9,-89.3
6.91,-17.8
6.92,36.1
6.93,98.9
6.94,80.5
6.95,74
6.96,53.9
6.97,32.9
6.98,12.8
6.99,-3.1
